,Date,Low,High,Close,Open
829,2003-02-21,83.46,85.74,85.18,84.38
828,2003-02-20,84.05,85.42,84.33,85.21
827,2003-02-19,84.28,85.47,85.18,85.32
826,2003-02-18,84.39,85.8,85.63,84.53
825,2003-02-14,81.82,84.2,84.15,82.37
824,2003-02-13,81.0,82.66,82.35,82.15
823,2003-02-12,82.09,83.62,82.1,83.16
822,2003-02-11,82.83,84.88,83.43,84.37
821,2003-02-10,82.65,84.13,84.01,83.46
820,2003-02-07,82.97,84.99,83.42,84.91
819,2003-02-06,83.65,84.89,84.45,84.37
818,2003-02-05,84.48,86.54,84.85,85.75
817,2003-02-04,84.3,85.75,85.38,85.31
816,2003-02-03,85.92,86.81,86.23,86.14
815,2003-01-31,84.15,86.21,86.06,84.15
814,2003-01-30,84.4,86.88,84.43,86.79
813,2003-01-29,84.77,87.18,86.48,85.42
812,2003-01-28,85.13,86.4,85.83,85.63
811,2003-01-27,84.5,86.8,85.2,85.73
810,2003-01-24,86.17,88.68,86.38,88.59
809,2003-01-23,87.95,89.38,88.71,88.75
808,2003-01-22,88.0,89.8,88.17,88.77
807,2003-01-21,88.95,90.92,89.25,90.87
806,2003-01-17,90.15,92.3,90.66,90.99
805,2003-01-16,91.45,92.93,92.02,92.5
804,2003-01-15,91.91,93.57,92.4,93.54
803,2003-01-14,92.41,93.83,93.33,92.69
802,2003-01-13,92.44,93.86,93.03,93.54
801,2003-01-10,91.8,93.64,93.06,91.95
800,2003-01-09,91.41,93.18,92.81,91.82
799,2003-01-08,91.05,92.4,91.39,92.2
798,2003-01-07,92.2,93.37,92.73,92.9
797,2003-01-06,91.17,93.49,92.96,91.24
796,2003-01-03,90.5,91.38,91.35,90.91
795,2003-01-02,88.54,91.3,91.07,88.85
794,2002-12-31,87.11,88.43,88.23,87.99
793,2002-12-30,87.22,88.47,88.11,87.79
792,2002-12-27,87.38,89.29,87.38,88.96
791,2002-12-26,88.84,90.61,89.39,89.7
790,2002-12-24,89.25,89.86,89.35,89.59
789,2002-12-23,89.31,90.47,90.02,89.59
788,2002-12-20,89.1,90.02,89.99,89.2
787,2002-12-19,88.6,90.7,89.16,89.35
786,2002-12-18,89.33,90.4,89.8,90.32
785,2002-12-17,90.74,91.74,90.85,91.37
784,2002-12-16,89.66,91.79,91.65,89.82
783,2002-12-13,89.27,90.48,89.34,89.91
782,2002-12-12,90.2,91.49,90.77,91.2
781,2002-12-11,90.16,91.62,90.78,90.42
780,2002-12-10,89.76,91.1,90.7,90.02
779,2002-12-09,89.48,91.46,89.5,91.07
778,2002-12-06,89.98,92.17,92.03,90.12
777,2002-12-05,91.1,92.8,91.43,92.73
776,2002-12-04,91.43,93.14,92.45,91.77
775,2002-12-03,92.35,93.4,92.87,93.25
774,2002-12-02,93.22,96.05,94.13,95.47
773,2002-11-29,93.77,94.95,93.98,94.8
772,2002-11-27,92.43,94.65,94.28,92.52
771,2002-11-26,91.62,93.45,91.7,93.07
770,2002-11-25,92.77,94.26,93.48,93.43
769,2002-11-22,93.27,94.27,93.42,93.48
768,2002-11-21,92.43,94.19,94.09,92.6
767,2002-11-20,89.95,92.42,92.37,89.98
766,2002-11-19,89.76,91.1,90.36,90.02
765,2002-11-18,90.35,92.15,90.48,92.15
764,2002-11-15,89.95,91.55,91.4,90.0
763,2002-11-14,89.75,91.0,90.73,90.07
762,2002-11-13,87.45,89.74,89.05,88.32
761,2002-11-12,88.37,89.93,88.96,88.66
760,2002-11-11,87.8,89.56,88.26,89.51
759,2002-11-08,89.52,91.57,89.65,90.53
758,2002-11-07,90.22,92.22,90.76,92.02
757,2002-11-06,90.79,93.07,93.04,92.48
756,2002-11-05,90.84,92.07,91.85,90.84
755,2002-11-04,90.9,92.94,91.13,91.8
754,2002-11-01,88.05,90.82,90.27,88.35
753,2002-10-31,88.19,90.3,88.52,89.66
752,2002-10-30,88.23,89.96,89.43,88.68
751,2002-10-29,87.0,89.49,88.57,89.08
750,2002-10-28,88.85,91.29,89.61,91.15
749,2002-10-25,87.94,90.39,90.2,88.21
748,2002-10-24,88.1,90.9,88.36,90.75
747,2002-10-23,87.68,90.27,90.2,88.77
